last_name,first_name,party,constituency
Simenel,Nolly,"Stiedemann, Blanda and McClure",55
MacCrosson,Alf,Barrows Inc,55
Stitcher,Libbey,Nolan Inc,55
Doucette,Franchot,Howell-Wilkinson,55
Phillot,Catie,Hermiston LLC,55
Lewknor,Maryjo,Cole-Hansen,55
Ginty,Helaina,"Doyle, Morar and Schuster",55
Pittle,Dorella,Rosenbaum Inc,55
McDermot,Idaline,Denesik and Sons,55
Fairfull,Tallie,"Terry, Harvey and Batz",55
Adolfsen,Raynard,"Welch, Daniel and Brown",55
Janaway,Rose,Koch-Robel,55
Dullingham,Betsy,Mertz and Sons,55
Dooher,Fielding,"Batz, Murphy and Lubowitz",55
Levay,Raquel,Reilly-Schimmel,55
Moorwood,Corabelle,Will-Cassin,55
Antonich,Maddi,Hackett-Hagenes,55
Englishby,Malia,Nicolas LLC,55
Huson,Haslett,"Flatley, Schaefer and King",55
Dedenham,Clive,"Cronin, Rempel and Baumbach",55
